,HYLB.CSV,DBMF.CSV,ESPO.CSV,QAI.CSV,VCLT.CSV,BUG.CSV,IHF.CSV,IEF,GDX.CSV,EMLC.CSV,QQQ,VB.CSV,VDE.CSV,VEA.CSV,VNQ,ESGU.CSV,EFA,XLV,TLT,QLTA.CSV,TAN.CSV,VTEB.CSV,IWM,MBB.CSV,IGIB.CSV,SCHG.CSV,BND,XLE,LIT.CSV,EBND.CSV,VOO.CSV,EEM,DBC,AGG,SPY,SHY,SCHX.CSV,SCHO.CSV,XLY.CSV,IYW.CSV,VUG.CSV,DIA.CSV,ACWI.CSV,BJK.CSV,TIPZ.CSV,XLK,VTV.CSV,IEFA.CSV,XLF,ALTY.CSV,BNDX.CSV,PFF.CSV,GLD,XLRE.CSV,GOVT.CSV,VTI,IEMG.CSV,LQD,SLV,JNK.CSV
PFF.CSV,0.011258390939377081,0.0016816466490790893,0.020725125123404544,0.007450491315806777,0.012164649959022337,0.022583433795214783,0.020509535673212856,0.0017543089526505995,0.018012441218576127,0.009513359337905173,0.02237535003563102,0.02807499165842624,0.029295697420755964,0.021205726636379155,0.02684471437987705,0.022603052115508976,0.020691945553761942,0.015962483232598062,0.003932397869154594,0.006483162316975634,0.03358996515723752,0.00509189360410623,0.028376699906713848,0.003643753820475307,0.005767074151204573,0.024359944375338963,0.004341378171525924,0.029710357140994112,0.027201276974821446,0.00842389901381907,0.022243803277548935,0.020969230385518987,0.008522018132368164,0.00456927692762307,0.021891506557211546,0.0004116037957217902,0.022836419975355564,0.0002365614283444576,0.025203352281905057,0.02488794569300535,0.02375939038539828,0.021839061660973984,0.02154993934415665,0.02905639834025145,0.00315593942897878,0.024688473055290126,0.020536113621451586,0.020792268452298406,0.026564040728551896,0.02701357612509956,0.0028395496284890614,0.025487750620952376,0.0035477445096628985,0.024619364189016914,0.0011220870459946063,0.02307315251868805,0.020886821034657607,0.00783546490586067,0.012346327486350716,0.011460242574704859
GLD,0.0030064142357851507,0.0035239828103206055,0.009702355609641819,0.00361819345312583,0.006732906068218184,0.0067620259293425964,0.0026290236177687006,0.003739776627083946,0.051272315485949245,0.006312400528769954,0.005908980131238694,0.005320556953290618,0.006176892004994807,0.008389826057875563,0.006405150086160635,0.004682454154267339,0.00785322913587442,0.003116234712081282,0.006396984399175745,0.004217423853475055,0.013889234318108984,0.0023556855414553703,0.006121349424387043,0.003002777095437119,0.003906307932685435,0.005415673583515125,0.00320362337046742,0.00607334313897803,0.013217099573950633,0.006020299546156267,0.004413704436514391,0.009530266801745877,0.01092705283145343,0.0032479481569434613,0.004423428795713827,0.0008922449739993384,0.00462508553927683,0.0008848593299286574,0.003910823633468251,0.006362477974350781,0.00532464777380724,0.003599592339840161,0.006046479067311509,0.006211249312715167,0.003869413317384116,0.006223264659565105,0.00355315668914654,0.007992815629414238,0.0012073977151421985,0.004935155637026634,0.0022020228878158353,0.0035477445096628985,0.029739193914201004,0.006427230503038787,0.0028010291898973743,0.004670345870949198,0.009329144816107172,0.004988953563968127,0.04776109446912889,0.0030483895877084933
XLRE.CSV,0.01700490986029488,0.0012398828148161988,0.030657545708581747,0.010894360812879245,0.014318378965245298,0.03210923027404513,0.035162802171502236,0.0014234300561181458,0.023377918571131282,0.01243870785159438,0.036815114363648344,0.04550607643631583,0.04025400186335295,0.033150871184870555,0.05717683491553327,0.038235190168882674,0.03250368025182538,0.030705494118365616,0.0006507224967567084,0.008346941258964027,0.0493769335578199,0.005445064703918024,0.046038527775269046,0.004980397910088545,0.007766145545547612,0.03880922520872483,0.004667316141531084,0.04057482830152833,0.04073596510512447,0.011840497570365526,0.03764956612686344,0.029902680786734928,0.011891699108049046,0.004221930894690725,0.037173452852224564,0.0005877893205179966,0.03808996481890681,0.0003886942567035995,0.04032618227633702,0.03975597640766774,0.03876020711086096,0.036839106674488344,0.035167460960226674,0.0399159494409031,0.0033568628425830085,0.04036407997226787,0.03678594320792716,0.03256121768744772,0.043182546833507134,0.03323661558511015,0.0031777932131288786,0.024619364189016914,0.006427230503038787,0.05687483070587931,0.000632015798530584,0.038448686363104216,0.029877614855775385,0.010165340421826296,0.019720591551588874,0.01723207264642209
GOVT.CSV,0.0007898448249152964,-0.0025218367330155046,0.00041825629793228495,0.00022830990589815873,0.006185481239703705,0.0009579554028169298,-0.0013791121761824107,0.004316534541205139,0.0047133911056812,0.0015467687676340822,-0.0010505892161908918,-0.0012658503970190557,-0.004394165033414456,-0.0006734271229453058,0.000490640420032939,-0.001426902204868291,-0.0007120928306250513,-0.0007175978835382794,0.009237610986087566,0.0033978962402288165,0.0005161711078900305,0.0015495987151571738,-0.0012702097970889459,0.0029773682042356143,0.0030412938277298764,-0.0010889832450952182,0.0032277445676471023,-0.0044165923037192845,-0.0011883431634926518,0.0018382288904074764,-0.0015075372257266195,-0.000989686198763,-0.001471733443823963,0.003284959583034585,-0.0014175127857977777,0.0008728069996989482,-0.001412356834445367,0.0008055255483980971,-0.0006934719153722601,-0.0013108037165329358,-0.0010581365048526958,-0.0017736269314553364,-0.0011649299819363327,-0.0006331506366487857,0.0030094478084967623,-0.001574405844565653,-0.0018815275029663374,-0.0006718980085635912,-0.00320675546545954,0.0002571251796670793,0.0020292548446914074,0.0011220870459946063,0.0028010291898973743,0.000632015798530584,0.0036990825148289766,-0.0013876637889593895,-0.0009966728825428254,0.004208845782837605,0.002368699584520109,0.0008221417083603832
VTI,0.016196440892507904,0.0053846240486834585,0.04090241715191154,0.012653405771689755,0.011145780570939665,0.042338091403438735,0.03435913528489672,-0.0012101000613896924,0.022938325711471766,0.011861200619528944,0.049155744228626334,0.04862345360972703,0.045128438760788196,0.03564823751744579,0.04043385526070033,0.04412975422423323,0.03516070247598518,0.02939719217683615,-0.004071159559531651,0.006287517334658275,0.054895488270552115,0.0037502636620469205,0.05012652419794942,0.003001350137223027,0.005682283457514281,0.050005906730595934,0.002813280111646305,0.04482880348575834,0.048230892406828055,0.01090985315800875,0.043336752701669055,0.03509548457555509,0.014472225601096164,0.0024923221961582437,0.04310692710900258,-2.451578048810821e-05,0.04391236356619215,-0.0002781154566382595,0.04872899147208266,0.054638168902926394,0.049592766329150904,0.03961895301897296,0.040153937260510114,0.04439030012921395,0.0018687859725574454,0.05391149596686606,0.0366668649676484,0.03516140705143835,0.045065552971803015,0.030179927266876974,0.0016744548261767394,0.02307315251868805,0.004670345870949198,0.038448686363104216,-0.0013876637889593895,0.04438582350741256,0.034850186421160834,0.007823301627110642,0.019794787496358764,0.016372646801919064
IEMG.CSV,0.013565386426614128,0.004922636616417506,0.04300654388395747,0.01255874755902974,0.00971861094601348,0.032954400510362546,0.02617505844488808,-0.001006305652392488,0.030293613415183482,0.015005495371539872,0.03902323682661767,0.03951305151173829,0.040558406028747336,0.035519118407124475,0.032078634171681504,0.03458378603025259,0.03493811040496852,0.022130195108833423,-0.0034489646266624386,0.005687858192633193,0.05896001239993282,0.004311835289050597,0.04088000598984425,0.0028644843826815284,0.005170105378844537,0.03905160763185958,0.002658033664220504,0.04035372094865428,0.05567375155685371,0.013715958881716794,0.033905696239203406,0.0459756462536513,0.01600801436570949,0.0023474080289408923,0.03353828163634478,1.5003084126947093e-05,0.03453855243018216,-0.00015494175259739819,0.03831117318157938,0.0433155821989467,0.038694887747858425,0.03106049213528631,0.03545420934712654,0.04443512861307827,0.0016395354081158524,0.042660263657796134,0.02871438220824407,0.035121624737760176,0.0350976129610426,0.02695592080553678,0.001558317414788848,0.020886821034657607,0.009329144816107172,0.029877614855775385,-0.0009966728825428254,0.034850186421160834,0.0455365463669515,0.006845848157115228,0.026762847025860934,0.013725083543093477
LQD,0.00605990570702331,-0.00200190273832995,0.009100161507809417,0.0035040535152008204,0.01551768784643318,0.009508457738676033,0.0059145534118096865,0.005515888463455452,0.011391575334885683,0.0059438868791616625,0.008537409712396705,0.009277835599208292,0.005205411132285427,0.007661612036444024,0.010661619822727099,0.007625443423368322,0.007524596691920498,0.005303097170569665,0.011889650037769579,0.00826387716126975,0.013492170986522972,0.00485021314736391,0.009439427377204613,0.004998495756893543,0.007344202674530568,0.008925795072624733,0.0059930748272301795,0.005143061264988733,0.009548306145831577,0.005591093512295621,0.007416386625553374,0.0068614372623913315,0.002044705125730793,0.005698024327414768,0.0075015254845809546,0.0010351218253943793,0.00767467706697312,0.0009243907325028189,0.009451666608957238,0.009406296690699733,0.008868463792768172,0.00672181335419069,0.007445648403488817,0.00939450568435192,0.004833333226359287,0.009014247761756577,0.0060190904281391296,0.007656939529057907,0.0065244936693280315,0.007965983457811257,0.003313927642199874,0.00783546490586067,0.004988953563968127,0.010165340421826296,0.004208845782837605,0.007823301627110642,0.006845848157115228,0.010880191710710994,0.007892857370566867,0.006148041346492961
SLV,0.008515979074282339,0.008954794543617013,0.02733882641468707,0.009537164807067672,0.010642899810833564,0.021626191294546383,0.01281270579009011,0.003508212389008157,0.09574446395967519,0.013992112889982696,0.02291686469694201,0.023244980518937343,0.026766216239631276,0.02465983321928121,0.020804558485874623,0.019603859854354762,0.02335656280843255,0.011333907810285655,0.005040622809361087,0.006840655739218222,0.042258080008706095,0.0035657594453360826,0.025278944191902884,0.003938311958250066,0.006216665745368006,0.02265843036455287,0.003872869435681481,0.026451539027244692,0.041741187978037615,0.013102210698418769,0.018976789925977205,0.02730044094208897,0.02683006811814404,0.004156225599031452,0.01891183717539573,0.0010234301851575313,0.019628440349417197,0.0009120250171289069,0.0202817682627669,0.025612418379940455,0.0224636300300053,0.017049419285286655,0.02145296670399388,0.026823529165233877,0.005642465183973623,0.02548521406721897,0.015288776259997918,0.023663306632637247,0.015237709313259407,0.018279010147979807,0.003114709770894722,0.012346327486350716,0.04776109446912889,0.019720591551588874,0.002368699584520109,0.019794787496358764,0.026762847025860934,0.007892857370566867,0.12884466775669998,0.008755994353954324
JNK.CSV,0.009522263776472193,7.315538547539184e-06,0.015094626089883984,0.005280292325596386,0.008475849730229627,0.015232012988668022,0.013122889264598127,0.0013411452673898164,0.010490216515530422,0.006567273727088083,0.017100986743366874,0.01887778067095995,0.017580834270186137,0.014395396412080793,0.01801901094273523,0.01619735878044905,0.014184031693482764,0.011179756741582295,0.0015456727168273923,0.004791996173355282,0.022058792014564347,0.002874642970829681,0.019318636620212975,0.002812096913972101,0.00450180228586324,0.0177480962091052,0.002791909780796749,0.017468160150190606,0.018776052171433532,0.006188147730973128,0.015908172979020644,0.013776408984602011,0.0061472389264416345,0.0026469342083507708,0.015791595595969835,0.00044790074511388665,0.016177652883266513,0.0003150193319221234,0.01804842254717561,0.018916408544931772,0.017681059549481123,0.014804724405926499,0.015172055334723517,0.018220362876933724,0.002043077639200535,0.018605858186848654,0.014158337161737474,0.01423044854916076,0.017604818725057512,0.014070046955533374,0.001771765585795833,0.011460242574704859,0.0030483895877084933,0.01723207264642209,0.0008221417083603832,0.016372646801919064,0.013725083543093477,0.006148041346492961,0.008755994353954324,0.009697422789874729
